,fused_Lasso,spline_MCP,spline_Lasso,smooth_Lasso,fused_Lasso/Thresh,spline_Lasso/Thresh,smooth_Lasso/Thresh
testing_mse,1.0571947048616095,0.3094762224547698,1.0548629612767508,0.8838664201756962,1.2848673218920823,1.3318967226720164,0.9139006562212432
beta_specificity,0.8683098591549298,0.9077464788732396,0.9267605633802819,0.9246478873239441,0.8556338028169016,0.9232394366197186,0.9218309859154932
beta_sensitivity,0.575,0.35000000000000003,0.4312500000000001,0.3625,0.5375,0.39375,0.3375
beta_mse,0.2948485740139423,0.15158357346666246,0.07697221906508978,0.08573771099322848,0.2947535189964751,0.07691070458310187,0.08573987615776663
