,case,model,testing_mse,beta_specificity,beta_sensitivity,beta_mse
0,1,spline_Lasso,23.34632997733357,0.810126582278481,,0.3324312791189362
1,1,spline_Lasso/Thresh,23.34632997733357,0.810126582278481,,0.3324312791189362
2,1,spline_MCP,8.782858960373614,0.8860759493670886,,0.05055076704883902
3,1,spline_MCP/Thresh,8.253435623045329,0.8860759493670886,,0.03279740240682261
4,1,smooth_Lasso,27.198955754352024,0.4936708860759494,,0.4350486414389205
5,1,smooth_Lasso/Thresh,27.198955754352024,0.4936708860759494,,0.4350486414389205
6,2,spline_Lasso,20.1141265160783,0.8481012658227848,,0.0837769422984177
7,2,spline_Lasso/Thresh,20.1141265160783,0.8481012658227848,,0.0837769422984177
8,2,spline_MCP,15.16350857888027,0.7088607594936709,,0.07387148183549766
9,2,spline_MCP/Thresh,6.267372388045182,0.7088607594936709,,0.019575205249419247
10,2,smooth_Lasso,19.344621311487796,0.7848101265822784,,0.11444351234061964
11,2,smooth_Lasso/Thresh,19.344621311487796,0.7848101265822784,,0.11444351234061964
